iter	Passed	Remaining
848	13556	2411
849	13569	2394
850	13583	2378
851	13596	2361
852	13611	2345
853	13625	2329
854	13639	2313
855	13653	2296
856	13667	2280
857	13682	2264
858	13696	2248
859	13711	2232
860	13725	2215
861	13741	2199
862	13755	2183
863	13770	2167
864	13784	2151
865	13799	2135
866	13816	2119
867	13832	2103
868	13845	2087
869	13858	2070
870	13871	2054
871	13885	2038
872	13900	2022
873	13932	2008
874	13950	1992
875	13963	1976
876	13976	1960
877	13988	1943
878	14002	1927
879	14016	1911
880	14029	1895
881	14043	1878
882	14057	1862
883	14071	1846
884	14084	1830
885	14097	1813
886	14111	1797
887	14124	1781
888	14138	1765
889	14152	1749
890	14165	1732
891	14179	1716
892	14192	1700
893	14205	1684
894	14218	1668
895	14231	1651
896	14245	1635
897	14260	1619
898	14272	1603
899	14285	1587
900	14298	1571
901	14310	1554
902	14324	1538
903	14337	1522
904	14350	1506
905	14363	1490
906	14377	1474
907	14391	1458
908	14404	1442
909	14417	1425
910	14430	1409
911	14443	1393
912	14457	1377
913	14469	1361
914	14482	1345
915	14495	1329
916	14509	1313
917	14522	1297
918	14535	1281
919	14549	1265
920	14561	1249
921	14575	1233
922	14588	1217
923	14600	1200
924	14614	1184
925	14626	1168
926	14639	1152
927	14652	1136
928	14665	1120
929	14678	1104
930	14691	1088
931	14705	1072
932	14717	1056
933	14730	1040
934	14743	1024
935	14756	1008
936	14769	993
937	14783	977
938	14796	961
939	14809	945
940	14823	929
941	14836	913
942	14849	897
943	14863	881
944	14876	865
945	14889	849
946	14903	834
947	14917	818
948	14929	802
949	14941	786
950	14954	770
951	14968	754
952	14982	738
953	14995	723
954	15008	707
955	15022	691
956	15035	675
957	15048	659
958	15061	643
959	15075	628
960	15087	612
961	15100	596
962	15113	580
963	15127	564
964	15140	549
965	15153	533
966	15166	517
967	15180	501
968	15193	486
969	15206	470
970	15220	454
971	15233	438
972	15247	423
973	15260	407
974	15273	391
975	15285	375
976	15299	360
977	15311	344
978	15325	328
979	15338	313
980	15351	297
981	15365	281
982	15379	265
983	15393	250
984	15405	234
985	15419	218
986	15432	203
987	15446	187
988	15460	171
989	15473	156
990	15485	140
991	15498	124
992	15510	109
993	15523	93
994	15536	78
995	15550	62
996	15563	46
997	15576	31
998	15589	15
999	15602	0
